id;nombre
1;ABSORBENTE INDUSTRIAL
2;ACEITE DE ALMENDRAS
3;ACEITE DE COCO
4;ACEITE DE JOJOBA
5;ACEITE DE LINO DOBLE COCIDO
6;ACEITE DE PATA
7;ACEITE DE PINO 700
8;ACEITE DE RICINO
9;ACETATO DE AMILO 99%
10;ACETATO DE BUTILGLICOL
11;ACETATO DE BUTILO
12;ACETATO DE CALCIO
13;ACETATO DE COBALTO
14;ACETATO DE ETILGLICOL
15;ACETATO DE POTASIO
16;ACETATO DE POTASIO 70% Solución
17;ACETATO DE SODIO 99% CRISTAL FG
18;ACIDO ACETICO 10%
19;ACIDO ASCORBICO 99% FG
20;ACIDO BENZOICO
21;ACIDO BENZOICO PA x250g UNID
22;ACIDO BORICO 99,5%
23;ACIDO BORICO PA x250g UNID
24;ACIDO CITRICO ANH 99,5% FG
25;ACIDO CITRICO CR PA
26;ACIDO CLORHIDRICO 18%
27;ACIDO CRESILICO
28;ACIDO CROMICO
29;ACIDO ESTEARICO (ESTEARINA)
30;ACIDO ESTEARICO HIDROGENADO
31;ACIDO FENICO 99%
32;ACIDO FLUORHIDRICO 70%
33;ACIDO FORMICO 85%
34;ACIDO FORMICO PA
35;ACIDO FOSFORICO 85% FG
36;ACIDO FUMARICO 99,5%
37;ACIDO FUMARICO 99,5% FG
38;ACIDO GLUCONICO
39;ACIDO LACTICO COMERCIAL
40;ACIDO NITRICO 63%
41;ACIDO NITRICO 65% PA
42;ACIDO OLEICO BIDESTILADO
43;ACIDO OLEICO DESTILADO
44;ACIDO OXALICO 99,5%
45;ACIDO OXALICO PA
46;ACIDO OXALICO PA x250g UNID
47;ACIDO SALICILICO
48;ACIDO SALICILICO PA
49;ACIDO SORBICO 99% FG
50;ACIDO SULFAMICO 99,5%
51;ACIDO TARTARICO 99,5% DL
52;ACIDO TARTARICO L Natural
53;ACIDO TARTARICO PA
54;ADHESIVO VINILICO
55;ADITIVO 786 B/AMINA 85%
56;AGAR AGAR
57;AGUA DESMINERALIZADA
58;AGUARRAS VEGETAL (TREMENTINA)
59;ALCANFOR
60;ALCOHOL 70%
61;ALCOHOL BENCILICO
62;ALCOHOL ETILICO PA
63;ALCOHOL ISOAMILICO
64;ALCOHOL ISOPROPILICO 99%
65;ALCOHOL ISOPROPILICO PA
66;ALCOHOL METILICO PA ACS
67;ALCOHOL OCTILICO 99,5%
68;ALCOHOL POLIVINILICO
69;ALGINATO DE SODIO
70;ALGUICIDA 
71;ALGUICIDA CONTROL PLUS
72;ALMIDON SOLUBLE PA x100g UNID
73;ALQUILOLAMIDA
74;ALUMBRE DE POTASIO
75;AMONIO CLORURO PA x250g UNID
76;AMONIO CUATERNARIO 50%
77;AMONIO CUATERNARIO 50% UG
78;AMONIO OXALATO PA
79;AMONIO PERSULFATO PA x250g UNID
80;AMONIO SULFATO PA x250g UNID
81;AZUFRE Polvo #325
82;AZUL DE ULTRAMAR
83;BARIO CLORURO PA 250g UNID
84;BARITA
85;CARBOXIPOLIMETILENE 940
86;CASEINA Polvo
87;CERA BLANCA PURA
88;CERA CARNAUBA
89;CERA LANETTE
90;CERA P/MADERA NATURAL
91;CERA RETAMO
92;CERA VIRGEN
93;CICLAMATO DE SODIO 98%
94;CICLOHEXANONA 99%
95;CITRATO DE POTASIO USP
96;CITRATO DE SODIO 99% CRISTAL FG
97;CLARIFICADOR FLOCULANTE
98;CLORO 60% Granular DIS/RAPIDA
99;CLORO 90% Granular DIS/LENTA
100;CLORO PASTILLA TRIPLE EFECTO
101;CLORO Pastillas x 200 g
102;CLORO Pastillas x 50 g
103;CLORUO DE CALCIO ANH FG
104;CLORURO DE AMONIO 99,5%
105;CLORURO DE AMONIO 99,5% FEED GRADE
106;CLORURO DE BARIO DIHID 99%
107;CLORURO DE BENZALCONIO 80%
